profile,year,date,headline,abstract,keywords,section,news_desk,url,economic_score,security_score,technology_score,opportunity_score,threat_score,competition_score,cooperation_score,net_framing_score,securitization_index
high_economic_low_security,2004,2004-07-02T05:00:00Z,Japan Survey Puts Optimism At the Highest In 12 Years,"Bank of Japan's Tankan survey of some 10,000 companies shows that two-year economic recovery remains on track; wide range of businesses say they are optimistic about their prospects, which reinforces view that recovery has spread beyond exports, main driver of growth so far; photo (M)",Japan; Bank of Japan; International Trade and World Market; Economic Conditions and Trends,Business,Business/Financial Desk,https://www.nytimes.com/2004/07/02/business/japan-survey-puts-optimism-at-the-highest-in-12-years.html,194.44444444444446,0.0,0.0,83.33333333333333,0.0,0.0,0.0,83.33333333333333,0.0
high_economic_low_security,2015,2015-01-03T00:40:46Z,Euro Falls Lower as Central Bank Hints at Increase in Stimulus Plan,"Statements by Mario Draghi, president of the European Central Bank, led investors to conclude that the bank would soon buy large quantities of eurobonds.","Currency; Deflation (Economics); Euro (Currency); US Dollar (Currency); Draghi, Mario; European Central Bank; Europe",Business,Business,https://dealbook.nytimes.com/2015/01/02/euro-falls-lower-as-central-bank-hints-at-increase-in-stimulus-plan/,192.98245614035088,0.0,0.0,35.08771929824561,0.0,0.0,0.0,35.08771929824561,0.0
high_economic_low_security,2018,2018-07-02T09:51:12Z,Stocks Tumble in Europe on Trade Worries and German Political Uncertainty,"Shares in Europe dropped, following Asian markets lower, as investors grappled with worsening global trade ties and an escalating rebellion against Germany’s leader.",International Trade and World Market; Protectionism (Trade); Customs (Tariff); Stocks and Bonds,Business,Business,https://www.nytimes.com/2018/07/02/business/trade-stock-markets.html,192.30769230769232,0.0,0.0,192.30769230769232,0.0,19.230769230769234,38.46153846153847,211.53846153846155,0.0
high_economic_low_security,2015,2015-09-01T18:48:45Z,"Growth at U.S. Factories Falls, but Construction Spending Reaches a 7-Year High",The Institute for Supply Management said its manufacturing index slid to 51.1 in August from 52.7 in July. A strong dollar and China’s lagging economy took their toll.,United States Economy; Building (Construction); Factories and Manufacturing; Commerce Department; Institute for Supply Management; Economic Conditions and Trends,Business,Business,https://www.nytimes.com/2015/09/02/business/economy/factory-production-grows-at-slowest-pace-since-may-2013.html,181.8181818181818,0.0,0.0,18.18181818181818,0.0,0.0,0.0,18.18181818181818,0.0
high_economic_low_security,1995,1995-05-04T05:00:00Z,Multilateral Development Banks Work and Ought to Be Supported,"Development financing is a complex subject easily misunderstood. It is a mixture of self-interest and altruism. It involves sensitive economic, social, political and cultural issues..The Asian Development Bank, which has 55 members spanning industriali",,Archives,IHT News,https://www.nytimes.com/1995/05/04/IHT-multilateral-development-banks-work-and-ought-to-be-supported.html,180.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
high_economic_low_security,2010,2010-09-01T00:30:54Z,Strong Exports Lift U.S. Agriculture Sector,"The export growth is propelled by higher prices for many products, including wheat, whose prices have skyrocketed as drought and heat decimated crops in Russia.",United States Economy; Farmers; Agriculture; Economic Conditions and Trends; International Trade and World Market,Business,Business,https://www.nytimes.com/2010/09/01/business/economy/01exports.html,176.47058823529412,0.0,0.0,98.0392156862745,0.0,0.0,0.0,98.0392156862745,0.0
high_economic_low_security,2019,2019-01-02T10:04:00Z,Volatility Continues as Rising Oil Prices Help Wall St. Erase Early Losses,"Weak manufacturing data from China soured investors, pushing global stock markets lower. But rising shares in energy producers overcame those losses.",Stocks and Bonds; Economic Conditions and Trends; International Trade and World Market; Factories and Manufacturing; China; United States,Business,Business,https://www.nytimes.com/2019/01/02/business/global-stock-markets.html,175.43859649122805,0.0,35.08771929824561,87.71929824561403,0.0,0.0,0.0,87.71929824561403,0.0
high_economic_low_security,2001,2001-11-11T05:00:00Z,"World Trade Organization Admits China, Amid Doubts","China joins World Trade Organization; ceremony in Doha, Qatar, ends 15 years of haggling over whether China's fitful embrace of market economy entitles it to full trading rights of capitalist countries; American and European negotiators in Doha continue to press for trade liberalization while poorer nations demand concessions on trade issues they care about, such as drug patents (M)",,World,Unknown,https://www.nytimes.com/2001/11/11/world/world-trade-organization-admits-china-amid-doubts.html,162.79069767441862,0.0,0.0,69.76744186046511,0.0,0.0,46.51162790697674,116.27906976744185,0.0
high_economic_low_security,2004,2004-09-01T05:00:00Z,"Trying to Stay Competitive, Cambodia Joins W.T.O.","Cambodia's legislature votes to approve nation's entry into World Trade Organization, step forced by new rules for international textile and apparel trade that could otherwise have smothered country's garment industry; photo (M)",Cambodia; World Trade Organization; Legislatures and Parliaments; International Trade and World Market; United States Economy; Customs (Tariff); Textiles; Law and Legislation; Third World and Developing Countries; APPAREL,Business,Business/Financial Desk,https://www.nytimes.com/2004/09/01/business/worldbusiness/trying-to-stay-competitive-cambodia-joins-wto.html,161.76470588235296,0.0,0.0,58.8235294117647,0.0,14.705882352941176,58.8235294117647,102.94117647058823,0.0
high_economic_low_security,1998,1998-09-02T05:00:00Z,INTERNATIONAL BUSINESS; Is It Morning in Indonesia Or the End of an Eclipse?,"Interview with Indonesia's Finance Minister, Ginandjar Kartasasmita, who expresses guarded optimism about one of world's bleakest economies; he says rupiah, country's currency, has strengthened more quickly than expected and that economy could show positive growth rate in two years (M)","Indonesia; Kartasasmita, Ginanadjar; Currency; Economic Conditions and Trends",Business,Business/Financial Desk,https://www.nytimes.com/1998/09/02/business/international-business-is-it-morning-in-indonesia-or-the-end-of-an-eclipse.html,159.42028985507244,0.0,0.0,43.47826086956522,0.0,0.0,0.0,43.47826086956522,0.0
high_security_low_economic,2000,2000-03-03T05:00:00Z,Military Rumblings Over Taiwan,"Editorial on latest military rumblings over Taiwan; holds showdown over Taiwan is in no one's interest; contends Washington will have little choice but to accept escalation of tensions if China persists in trying to intimidate Taiwan; argues that China, which set off this crisis, needs to modify its course","China; Taiwan; United States International Relations; ARMAMENT, DEFENSE AND MILITARY FORCES; Editorials",Opinion,Editorial Desk,https://www.nytimes.com/2000/03/03/opinion/military-rumblings-over-taiwan.html,0.0,211.26760563380282,0.0,0.0,56.33802816901409,0.0,14.084507042253522,-42.25352112676057,15.0
high_security_low_economic,2023,2023-05-01T07:11:18Z,Iranian Insider and British Spy: How a Double Life Ended on the Gallows,"In January, Iran executed a former senior official who provided Britain with valuable intelligence on Iranian nuclear and military programs over a decade, according to Western intelligence officials.","Espionage and Intelligence Services; International Relations; Assassinations and Attempted Assassinations; Classified Information and State Secrets; Nuclear Weapons; British Secret Intelligence Service; Akbari, Alireza; Iran; Great Britain",World,Foreign,https://www.nytimes.com/2023/05/01/world/middleeast/british-spy-execution-iran.html,0.0,188.40579710144928,0.0,0.0,57.971014492753625,0.0,14.492753623188406,-43.47826086956522,13.0
high_security_low_economic,2001,2001-05-02T05:00:00Z,"In Strategy Overhaul, Bush Seeks a Missile Shield","WASHINGTON, May 1 — President Bush called today for sweeping changes in security strategy, including a new relationship with Russia, that would build an expansive missile defense system and cut ""to the lowest possible number"" the nuclear arsenals that both sides assembled in the cold war.","Washington; Moscow; United States International Relations; ARMAMENT, DEFENSE AND MILITARY FORCES; Arms Control and Limitation and Disarmament; Treaties",World,Unknown,https://www.nytimes.com/2001/05/02/world/in-strategy-overhaul-bush-seeks-a-missile-shield.html,0.0,166.66666666666666,0.0,0.0,102.56410256410255,0.0,12.82051282051282,-89.74358974358974,13.0
high_security_low_economic,2022,2022-03-01T10:40:17Z,"Watching the War in Ukraine, Taiwanese Draw Lessons in Self-Reliance","Many in Taiwan see parallels with Ukraine. “We must use this time of peace to prepare for the worst,” says a nonprofit working to promote civil defense.","Russian Invasion of Ukraine (2022); Defense and Military Forces; War and Armed Conflicts; United States International Relations; Tsai Ing-wen; Biden, Joseph R Jr; Putin, Vladimir V; Xi Jinping; China; New Taipei City (Taiwan); Taipei (Taiwan); Taiwan; Russia; Ukraine",World,Foreign,https://www.nytimes.com/2022/03/01/world/asia/ukraine-taiwan-china-russia.html,0.0,157.14285714285714,0.0,0.0,42.857142857142854,0.0,14.285714285714285,-28.57142857142857,11.0
high_security_low_economic,2000,2000-05-02T05:00:00Z,"U.S. Missile Plan Could Hurt Security Ties, European Says","Javier Solana, foreign policy chief for European Union, says European officials are concerned about potentially damaging effects that Clinton administration plan for missile defense could have on Europe's security ties with US; says if Europe is not protected by missile shield, such system could lead to splintering in military ties between US and its NATO allies (M)","Europe; North Atlantic Treaty Organization; European Union; Clinton, Bill; Solana, Javier; United States International Relations; ARMAMENT, DEFENSE AND MILITARY FORCES; Missiles and Missile Defense Systems; United States Armament and Defense",World,Foreign Desk,https://www.nytimes.com/2000/05/02/world/us-missile-plan-could-hurt-security-ties-european-says.html,0.0,154.54545454545453,0.0,0.0,109.09090909090908,0.0,54.54545454545454,-54.54545454545454,17.0
high_security_low_economic,2001,2001-03-02T05:00:00Z,South Korea Now Pulls Back From Russia on Missile Shield,South Korean government makes swift retreat from what had appeared to be decision by Pres Kim Dae Jung to support Pres Vladimir V Putin of Russia in opposing United States missile defense program; Foreign Ministry spokesman draws careful distinction between Kim's endorsement of Antiballistic Missile Treaty of 1972 as 'cornerstone of strategic stability' and any criticim of or opposition to national missile defense (M),"Russia; South Korea; Putin, Vladimir V; Kim Dae Jung; ATOMIC WEAPONS; United States International Relations; Missiles and Missile Defense Systems; United States Armament and Defense",World,Foreign Desk,https://www.nytimes.com/2001/03/02/world/south-korea-now-pulls-back-from-russia-on-missile-shield.html,0.0,146.78899082568807,0.0,0.0,73.39449541284404,0.0,9.174311926605505,-64.22018348623854,16.0
high_security_low_economic,1999,1999-09-01T05:00:00Z,"India, Too, Has a Right to Credible Nuclear Deterrence","India's proposed nuclear weapons doctrine defines the role of such arms in its defense. When the report containing the proposals was released recently, controversy immediately erupted. . This is not surprising. No other nuclear democracy has publicly deb",,Opinion,IHT News,https://www.nytimes.com/1999/09/01/opinion/IHT-india-too-has-a-right-to-credible-nuclear-deterrence.html,0.0,142.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,7.0
high_security_low_economic,2001,2001-05-01T05:00:00Z,Bush Commits U.S. to a Missile Defense System,"WASHINGTON, May 1 — President Bush committed the United States today to building a missile defense system for a world in which cold-war thinking is outmoded and the Soviet Union is fading into memory.",,World,Unknown,https://www.nytimes.com/2001/05/01/world/bush-commits-us-to-a-missile-defense-system.html,0.0,136.36363636363635,0.0,0.0,68.18181818181817,0.0,0.0,-68.18181818181817,6.0
high_security_low_economic,2001,2001-05-01T05:00:00Z,Bush Calls Allies in Advance of Missile Speech,Pres Bush begins paving diplomatic path for missile defense system and possibility of renouncing 1972 Antiballistic Missile Treaty; calls leaders of several major European and Asian allies in preparation for May 1 speech; tells them he wants to begin consultations on new nuclear treaty (M),"North Atlantic Treaty Organization; Bush, George W; ATOMIC WEAPONS; Arms Control and Limitation and Disarmament; Treaties; Missiles and Missile Defense Systems",World,Foreign Desk,https://www.nytimes.com/2001/05/01/world/bush-calls-allies-in-advance-of-missile-speech.html,0.0,132.53012048192772,0.0,0.0,72.28915662650603,0.0,24.096385542168676,-48.19277108433735,11.0
high_security_low_economic,2017,2017-05-02T07:15:03Z,U.S. Antimissile System Goes Live in South Korea,"The Thaad system, deployed to counter North Korea’s missile threats, has angered China and become a contentious issue in South Korea’s presidential race.","South Korea; Missiles and Missile Defense Systems; United States Defense and Military Forces; North Korea; China; United States International Relations; Moon Jae-in; Trump, Donald J",World,Foreign,https://www.nytimes.com/2017/05/02/world/asia/thaad-north-korea-missile-defense-us.html,0.0,131.14754098360658,0.0,0.0,98.36065573770492,32.786885245901644,16.393442622950822,-114.75409836065575,8.0
